user1,user2,weight
880,969,5
880,1234,7
629,1234,4
445,1117,1
445,946,1
567,703,27
350,967,13
350,363,9
880,1100,19
880,1042,10
880,938,4
880,1026,1
1026,1100,2
1042,1234,21
1026,1042,2
938,1234,11
1026,1234,1
938,1026,8
910,1014,2
1014,1328,5
910,1328,2
388,929,2
428,1151,2
346,1516,14
909,1007,3
428,707,6
421,1415,1
802,1117,10
857,1366,3
180,857,1
180,1366,2
776,788,1
286,1456,3
487,1081,1
1506,1516,24
156,1506,1
156,1516,1
629,969,6
629,1155,16
629,1117,10
819,866,2
806,864,1
106,1430,8
869,916,1
15,1251,1
44,1374,1
946,1142,15
501,909,6
116,1100,2
1026,1103,1
185,1026,1
185,1103,2
866,980,2
980,1100,3
980,1155,4
1100,1119,1
969,1119,2
946,977,1
969,1042,10
969,1027,1
116,969,2
1042,1155,39
681,1155,5
18,443,2
471,1076,1
1076,1155,13
471,1155,2
471,1100,8
471,866,7
501,832,5
832,1042,5
1042,1117,32
154,1042,8
922,1042,42
707,1042,1
501,1042,3
922,1100,31
880,922,15
707,922,6
501,922,2
707,1100,6
707,880,5
501,880,4
501,707,2
1042,1076,5
922,1076,6
1102,1234,19
154,1234,1
116,608,1
166,608,2
842,1027,1
653,686,1
903,1239,1
797,1390,2
35,1246,1
1279,1342,2
694,1279,1
739,994,1
143,1122,1
471,1122,2
143,471,1
802,923,1
368,802,16
368,923,1
173,368,1
173,1163,2
173,980,3
368,1163,1
368,980,4
980,1163,2
980,1122,1
938,1164,1
52,903,1
903,1430,3
52,1430,3
106,414,2
414,1415,2
106,1415,4
52,1415,1
1415,1430,2
17,403,3
414,614,1
614,1415,5
279,1415,2
106,279,1
421,1203,2
557,1203,1
279,1203,1
421,557,1
279,421,1
279,557,1
414,1203,1
414,421,1
106,1203,1
106,421,1
52,421,1
52,106,2
614,1430,1
903,1045,1
140,1045,1
1045,1430,1
140,903,1
140,1430,1
403,1415,2
403,614,1
403,684,1
684,1415,1
614,684,1
106,903,1
614,903,1
414,903,1
279,614,1
17,1430,3
17,1415,1
403,1430,1
106,403,1
827,1280,1
969,1076,9
17,106,1
403,903,1
557,1415,1
866,868,5
868,1100,3
919,1001,2
1001,1163,2
802,1001,2
554,869,5
554,1023,19
810,1108,8
1056,1384,1
1103,1384,5
1001,1026,1
929,1026,2
1081,1103,1
832,1155,1
154,1155,7
832,866,1
154,866,25
832,969,1
154,969,4
286,919,2
578,1031,1
1121,1437,2
185,186,4
350,1010,1
788,848,6
471,848,1
0,980,2
487,802,1
180,1216,1
388,1023,25
388,554,12
388,869,17
388,1345,2
1023,1345,2
869,1345,1
388,1001,2
166,869,1
166,388,1
388,481,3
481,869,4
116,1328,2
154,1009,5
810,1294,1
1009,1023,1
346,866,68
827,1366,3
1328,1366,3
367,1366,4
827,1328,3
367,827,7
367,1328,4
1041,1328,1
367,1041,1
0,938,5
